1-Jan,I,ActivityManager, Start proc com.android.inputmethod.latin for service com.android.inputmethod.latin/.LatinIME," pid=1526 uid=10011 gids={50011, 1015, 1028}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,V,InputMethodManagerService, Adding window token, android.os.Binder@6e06a3c8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, startViaZygote() entered at 3307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, startViaZygote() got Process.class mutex at 3307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, startViaZygote() created args for zygote at 3307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, zygoteSendArgsAndGetResult() entered at 3307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, zygoteSendArgsAndGetResult() socket open at 3313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, zygoteSendArgsAndGetResult() flushed args at 3324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, zygoteSendArgsAndGetResult() got result at 3357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,ActivityManager, Start proc com.android.systemui for service com.android.systemui/.ImageWallpaper," pid=1539 uid=10023 gids={50023, 1028, 1015, 3002, 3001}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,ActivityManager, Config changes=200 {1.0 ?mcc?mnc en_US ldltr sw524dp w1004dp h654dp 160dpi lrg land finger -keyb/v/h -nav/h s.3},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, startViaZygote() entered at 3361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, startViaZygote() got Process.class mutex at 3361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, startViaZygote() created args for zygote at 3361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, zygoteSendArgsAndGetResult() entered at 3361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, zygoteSendArgsAndGetResult() socket open at 3361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, zygoteSendArgsAndGetResult() flushed args at 3372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, zygoteSendArgsAndGetResult() got result at 3394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,ActivityManager, Start proc com.android.systemui for added application com.android.systemui," pid=1553 uid=10023 gids={50023, 1028, 1015, 3002, 3001}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,ActivityManager, IN   startMainAppActivityLocked(0) at 3395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,ActivityManager, OUT  startMainAppActivityLocked(0) at 3396 , false (aInfo == null),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,ActivityManager, IN   startHomeActivityLocked(0) at 3396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,ActivityManager, START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10000000 cmp=com.example.android.home.res/com.example.android.home.Home} from pid 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, startViaZygote() entered at 3405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, startViaZygote() got Process.class mutex at 3405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, startViaZygote() created args for zygote at 3406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, zygoteSendArgsAndGetResult() entered at 3406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, zygoteSendArgsAndGetResult() socket open at 3406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, zygoteSendArgsAndGetResult() flushed args at 3407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,Process, zygoteSendArgsAndGetResult() got result at 3439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,ActivityManager, Start proc com.example.android.home.res for activity com.example.android.home.res/com.example.android.home.Home," pid=1567 uid=1000 gids={41000, 3003, 1006, 1015, 1028, 2001, 1023, 3002, 3001}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,ActivityManager, OUT  startHomeActivityLocked(0) at 3439 , true (end),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,ActivityManager, No pending application record for pid 1539 (IApplicationThread android.app.ApplicationThreadProxy@6dff3448); dropping process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,V,WindowManager, computeScreenConfigurationLocked, mRotation=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,E,ActivityThread, Failed to find provider info for user_dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
